#{"t_start": 1774764995.000819, "env_id": "None"}
r,l,t
-1.0,20,27.568673
1.0,49,30.490144
1.0,23,31.523561
-1.0,34,33.844849
-1.0,26,34.906872
1.0,50,36.788027
-1.0,25,37.814962
-1.0,30,39.006334
1.0,40,40.446866
-1.0,27,43.747716
1.0,28,46.010978
-1.0,29,47.536365
1.0,29,48.948317
-1.0,25,50.227415
-1.0,34,52.243677
-1.0,31,54.030516
-1.0,24,55.309669
-1.0,33,57.21813
1.0,52,61.40526
-1.0,31,63.273719
1.0,27,65.005637
-1.0,28,67.112777
1.0,32,69.080954
-1.0,41,71.075274
-1.0,23,72.235701
-1.0,24,73.615812
-1.0,41,81.880905
-1.0,38,83.768787
-1.0,35,87.103033
-1.0,28,88.562103
1.0,33,91.294172
1.0,48,94.230452
1.0,26,95.85817
1.0,31,97.53465
1.0,33,102.770844
-1.0,29,105.884288
1.0,31,107.847027
-1.0,32,109.25093
-1.0,25,110.337577
-1.0,33,111.585618
-1.0,29,114.595203
-1.0,31,117.119432
-1.0,41,119.201727
1.0,43,124.088879
1.0,39,126.388325
1.0,38,128.735521
-1.0,41,130.232733
-1.0,32,133.084905
-1.0,43,134.654198
1.0,27,135.713378
1.0,33,137.033583
-1.0,30,138.160243
-1.0,48,139.787442
-1.0,61,143.192888
-1.0,34,146.159122
1.0,34,148.12864
-1.0,30,149.693966
1.0,31,151.201538
-1.0,22,152.411811
1.0,31,153.678472
-1.0,25,154.693676
-1.0,48,185.149014
-1.0,27,186.03074
-1.0,34,187.222104
1.0,33,188.487469
-1.0,48,190.297353
-1.0,47,192.056471
-1.0,40,193.519867
1.0,34,194.699146
-1.0,51,196.516393
1.0,39,198.028243
-1.0,27,199.060995
1.0,24,200.400662
-1.0,37,202.095028
-1.0,28,203.281441
-1.0,51,205.073851
-1.0,29,206.108596
-1.0,25,207.195961
1.0,34,208.443877
-1.0,28,209.4278
1.0,40,210.867312
1.0,37,212.21409
-1.0,31,213.621261
1.0,35,214.826715
1.0,42,216.336112
-1.0,26,217.385643
1.0,46,219.356248
-1.0,39,220.716774
1.0,30,221.841104
-1.0,22,222.888472
-1.0,32,224.348828
-1.0,22,225.054757
1.0,27,226.126663
-1.0,35,228.128526
1.0,30,229.531457
-1.0,37,231.104673
-1.0,24,231.983728
-1.0,30,232.990917
1.0,24,233.889644
1.0,45,235.431977
1.0,28,236.439331
1.0,33,237.79829
-1.0,31,239.019828
-1.0,31,240.077079
-1.0,27,240.957509
1.0,25,241.790859
1.0,30,242.884802
-1.0,24,243.723753
1.0,33,244.955424
-1.0,42,246.437666
-1.0,35,247.650599
1.0,24,248.455073
-1.0,45,250.18167
-1.0,30,251.433889
-1.0,30,252.478888
-1.0,30,253.498807
-1.0,25,254.455694
-1.0,31,255.447851
-1.0,33,256.94298
-1.0,30,258.043043
-1.0,27,258.941552
1.0,52,260.96026
-1.0,40,262.94946
-1.0,43,298.012974
1.0,33,299.728452
1.0,47,303.693207
-1.0,19,306.818193
-1.0,21,307.97203
1.0,40,309.814233
1.0,31,313.836493
1.0,28,315.757474
-1.0,29,316.9074
-1.0,37,318.279642
-1.0,26,321.176314
-1.0,20,322.569679
-1.0,35,324.377719
1.0,25,325.588147
-1.0,30,326.754518
-1.0,33,328.225022
-1.0,30,329.417591
-1.0,37,330.763427
-1.0,33,331.947858
-1.0,34,333.131061
-1.0,21,334.047432
-1.0,23,336.732926
-1.0,19,337.788414
-1.0,32,338.857749
-1.0,27,339.770815
-1.0,24,340.612721
-1.0,32,342.490313
-1.0,32,344.035304
-1.0,97,347.946982
-1.0,31,349.406851
1.0,43,351.112118
1.0,47,352.971928
-1.0,33,354.346233
1.0,37,355.541587
1.0,41,356.937986
-1.0,38,358.309279
-1.0,32,359.365779
-1.0,36,360.780726
1.0,28,361.769435
-1.0,34,363.279905
-1.0,37,364.601322
-1.0,26,365.666012
1.0,41,370.252092
-1.0,26,371.350071
1.0,28,372.427919
-1.0,27,373.372587
-1.0,41,375.152418
-1.0,40,377.554583
1.0,33,379.176991
-1.0,29,381.201443
-1.0,26,382.495482
-1.0,32,384.016385
1.0,25,385.993944
-1.0,36,387.596078
1.0,41,389.280426
-1.0,51,391.662969
-1.0,42,393.236643
1.0,27,394.220322
1.0,32,395.559892
-1.0,21,396.654944
-1.0,32,398.084129
