#{"t_start": 1774765001.3953652, "env_id": "None"}
r,l,t
1.0,32,21.903443
-1.0,34,23.844907
-1.0,35,25.867935
-1.0,32,27.842722
-1.0,32,29.02172
-1.0,28,30.084754
1.0,36,31.517488
1.0,26,32.522238
1.0,30,33.625747
-1.0,23,34.580887
-1.0,35,39.032044
-1.0,35,40.967517
-1.0,21,41.990535
-1.0,27,43.287592
-1.0,24,44.600773
-1.0,48,47.469023
1.0,35,49.343606
-1.0,38,51.925656
-1.0,35,54.83801
-1.0,29,56.511494
-1.0,29,58.317141
-1.0,40,61.546822
-1.0,34,63.201127
1.0,43,65.418368
-1.0,31,66.816738
-1.0,29,73.859945
-1.0,36,76.502493
-1.0,29,77.949821
1.0,23,80.708823
1.0,38,82.715353
1.0,27,85.215686
-1.0,28,86.695487
1.0,39,89.308637
-1.0,27,90.732992
-1.0,26,92.923886
-1.0,47,99.760177
1.0,22,101.058937
-1.0,29,102.484242
1.0,28,103.765273
-1.0,27,104.741997
1.0,42,108.426982
1.0,26,110.567959
1.0,32,112.300028
1.0,30,114.933445
1.0,21,117.445828
-1.0,27,119.513312
-1.0,26,120.426369
-1.0,41,122.891808
-1.0,18,123.498888
1.0,71,127.789035
-1.0,24,128.703334
-1.0,34,129.957093
1.0,43,131.671974
-1.0,29,132.656807
-1.0,31,133.693423
-1.0,33,134.759149
1.0,27,137.236485
1.0,42,140.674171
-1.0,31,142.284275
1.0,23,143.677019
-1.0,53,146.270826
1.0,29,147.461433
-1.0,26,148.595754
1.0,38,178.559503
-1.0,29,179.546869
-1.0,37,180.830106
-1.0,25,181.788482
1.0,26,182.730237
-1.0,29,183.847823
-1.0,27,184.940815
-1.0,35,186.178251
1.0,39,187.570364
-1.0,40,188.949698
-1.0,41,190.425426
-1.0,30,191.622286
1.0,39,193.186357
-1.0,24,194.750538
1.0,28,195.837621
-1.0,41,197.445223
-1.0,24,198.302885
1.0,31,199.43346
-1.0,35,200.869845
-1.0,38,202.22598
-1.0,36,203.470086
-1.0,35,204.745799
-1.0,23,205.59201
1.0,25,206.806688
-1.0,33,207.981829
-1.0,31,208.992804
-1.0,24,209.891806
-1.0,31,211.276114
1.0,38,212.819349
-1.0,28,213.759633
-1.0,32,214.911628
-1.0,36,216.560465
-1.0,28,217.845355
1.0,36,219.052234
-1.0,34,220.674224
-1.0,32,222.514553
-1.0,34,224.007614
-1.0,31,225.205827
-1.0,37,226.464589
1.0,47,228.146719
-1.0,27,229.103728
-1.0,47,230.987131
-1.0,19,231.699575
1.0,30,232.824005
-1.0,25,233.629193
-1.0,23,234.39012
1.0,27,235.292042
-1.0,53,237.171621
-1.0,33,238.377737
1.0,33,239.574434
-1.0,37,240.886971
-1.0,41,242.272019
-1.0,34,243.610423
-1.0,36,245.096696
-1.0,29,246.09159
1.0,34,247.260351
-1.0,29,248.317331
1.0,39,249.884229
-1.0,43,251.476832
1.0,33,252.629434
-1.0,25,253.490046
-1.0,68,290.080036
-1.0,43,291.720709
-1.0,20,293.042916
1.0,49,294.904523
-1.0,33,300.864102
-1.0,31,302.147453
-1.0,18,302.977015
-1.0,45,308.126915
-1.0,29,309.863093
1.0,23,310.653874
-1.0,31,311.744346
1.0,74,317.405366
-1.0,36,319.287797
-1.0,41,320.985721
1.0,36,322.477901
-1.0,31,323.567602
1.0,49,325.341513
1.0,59,327.581018
-1.0,28,330.612429
-1.0,48,332.524734
1.0,29,333.527156
1.0,33,334.847613
-1.0,40,337.118505
-1.0,30,338.452544
-1.0,24,339.398676
1.0,32,340.664349
-1.0,24,341.633124
-1.0,33,343.139506
-1.0,33,344.472803
-1.0,36,345.903557
-1.0,26,346.99337
-1.0,27,348.041946
-1.0,33,349.069596
1.0,29,350.079571
-1.0,38,351.295297
1.0,35,352.597152
-1.0,32,353.884832
1.0,42,355.321896
-1.0,42,357.18491
-1.0,36,358.408739
1.0,25,361.150117
-1.0,38,363.969718
-1.0,37,365.41079
1.0,26,366.426318
-1.0,38,367.779792
-1.0,33,369.589968
1.0,27,371.240234
-1.0,47,374.230283
-1.0,35,375.749769
-1.0,27,377.063098
-1.0,32,379.289804
-1.0,37,381.054668
-1.0,37,382.609749
1.0,50,384.963054
1.0,35,386.326207
-1.0,32,387.479882
-1.0,34,388.751395
1.0,31,390.401255
1.0,23,391.422313
