#{"t_start": 1774765004.123701, "env_id": "None"}
r,l,t
1.0,37,19.436345
1.0,29,21.118731
1.0,25,22.266591
1.0,36,24.791418
1.0,41,26.428747
1.0,22,27.25127
1.0,32,28.38616
-1.0,53,30.496047
1.0,33,31.837841
1.0,40,36.628022
1.0,51,39.2646
1.0,38,41.250318
1.0,67,45.126408
1.0,38,47.091562
1.0,34,49.685938
1.0,42,52.751752
1.0,47,55.711419
-1.0,34,58.470935
1.0,40,60.53205
1.0,34,62.223257
1.0,31,63.643806
1.0,49,72.510943
1.0,73,77.712753
1.0,50,80.455505
1.0,44,83.82649
-1.0,48,87.011299
-1.0,59,93.335571
1.0,35,97.097827
-1.0,55,99.972757
1.0,43,101.766931
1.0,53,106.120616
1.0,36,108.422635
1.0,27,109.913998
1.0,29,113.548567
1.0,38,116.693533
1.0,23,117.46944
1.0,32,119.557308
1.0,41,121.04525
1.0,37,124.090172
1.0,76,126.971975
1.0,44,128.665064
1.0,48,130.361381
1.0,40,131.655825
1.0,55,136.306668
1.0,26,138.00454
1.0,31,139.613127
-1.0,43,141.916703
1.0,59,144.648243
1.0,26,145.764754
1.0,45,176.023606
1.0,50,177.675517
1.0,45,179.41835
1.0,23,180.228606
1.0,43,181.952083
1.0,49,183.689525
1.0,29,184.730498
1.0,48,186.447088
1.0,30,187.488164
1.0,26,188.552249
1.0,24,189.348594
1.0,44,191.649151
1.0,40,193.426208
1.0,24,194.369649
1.0,46,195.990324
1.0,39,197.524877
-1.0,57,199.63239
1.0,49,201.415972
1.0,48,203.15038
-1.0,36,204.762041
1.0,27,205.628895
1.0,39,206.938705
1.0,42,208.909945
1.0,53,210.788748
1.0,37,212.126012
1.0,39,213.936689
1.0,24,215.018314
1.0,58,217.190777
1.0,38,219.39342
1.0,29,220.633263
1.0,43,222.406427
1.0,49,224.167387
1.0,54,225.994454
1.0,40,227.436898
1.0,34,228.905892
-1.0,105,232.50078
1.0,36,233.865046
1.0,36,235.111346
1.0,44,236.669501
1.0,29,237.76224
1.0,28,238.674013
1.0,57,240.774856
1.0,64,243.226818
1.0,39,244.624766
1.0,23,245.45687
1.0,35,246.773784
1.0,34,248.140968
1.0,43,249.667063
1.0,37,251.021495
1.0,30,252.163565
1.0,45,287.804293
-1.0,60,290.562924
1.0,28,291.418227
1.0,35,297.372029
1.0,30,299.035858
1.0,41,301.704157
1.0,51,306.505419
1.0,41,308.192699
1.0,25,309.07095
-1.0,38,312.862872
1.0,109,318.072902
1.0,48,320.067537
1.0,25,320.960631
1.0,22,321.812738
1.0,36,323.036283
1.0,104,329.147819
1.0,38,330.393189
1.0,25,331.264459
1.0,59,334.468444
-1.0,55,336.757167
1.0,62,339.303483
1.0,33,340.708743
1.0,41,342.320886
1.0,56,344.73943
1.0,56,346.538998
1.0,38,347.856039
1.0,57,349.814226
1.0,50,351.726052
1.0,61,354.21453
1.0,45,355.795748
1.0,64,361.410582
1.0,35,362.760205
1.0,52,364.681354
1.0,33,366.246357
1.0,46,368.975411
-1.0,63,372.494441
1.0,50,375.143256
1.0,35,377.514595
1.0,61,380.015297
1.0,42,381.967509
1.0,42,383.670028
-1.0,36,384.945316
1.0,29,386.104004
1.0,41,388.108038
