#{"t_start": 1774765011.7352588, "env_id": "None"}
r,l,t
1.0,57,12.977353
1.0,35,14.797067
-1.0,37,17.341782
1.0,29,18.405302
-1.0,25,19.352824
1.0,29,20.406816
-1.0,68,23.06088
1.0,33,24.893816
-1.0,45,29.626355
1.0,27,31.001553
-1.0,42,33.016007
-1.0,31,34.699334
1.0,47,37.624307
1.0,50,40.31205
-1.0,33,42.860159
-1.0,32,45.27077
1.0,28,47.069597
1.0,27,48.995622
1.0,34,51.531904
1.0,58,54.268981
1.0,33,55.822868
1.0,38,62.765715
-1.0,40,66.25453
1.0,59,70.962606
1.0,24,72.044633
1.0,26,74.13729
1.0,25,75.792183
-1.0,29,77.727783
-1.0,27,79.416786
1.0,30,80.98358
1.0,32,86.296311
1.0,57,91.029303
-1.0,42,92.938025
-1.0,39,94.467101
-1.0,35,96.467373
1.0,27,99.934457
1.0,35,101.90192
-1.0,42,106.303327
1.0,35,109.052138
-1.0,73,112.693872
-1.0,36,113.860017
1.0,26,116.539827
-1.0,49,118.414137
-1.0,45,120.114755
1.0,30,121.271231
1.0,25,122.139711
-1.0,34,123.29018
1.0,36,124.538399
1.0,37,127.942521
1.0,34,130.509876
1.0,45,132.956326
1.0,47,135.29595
1.0,24,136.400435
-1.0,26,137.484753
1.0,29,138.842628
-1.0,34,168.554254
-1.0,63,170.708615
-1.0,32,171.919534
-1.0,25,172.795962
-1.0,25,173.811812
1.0,33,175.056852
1.0,36,176.346223
1.0,42,177.814126
1.0,44,179.422565
1.0,33,180.681829
1.0,39,182.073677
1.0,40,184.317893
1.0,52,186.440154
-1.0,30,187.535941
-1.0,27,188.526948
-1.0,33,189.788617
-1.0,49,191.638477
-1.0,29,192.639988
-1.0,53,194.594377
-1.0,24,195.422162
1.0,25,196.661583
1.0,23,197.504698
-1.0,31,198.490837
-1.0,32,199.724311
1.0,30,201.100668
1.0,51,202.960355
-1.0,34,204.202323
1.0,32,205.488645
-1.0,34,207.160065
-1.0,36,208.400371
1.0,59,211.305033
1.0,53,213.820836
1.0,28,214.865923
1.0,47,216.494452
1.0,62,218.627355
1.0,28,219.655169
1.0,40,221.358984
-1.0,33,222.597372
1.0,58,224.486032
-1.0,41,225.905917
1.0,39,227.337938
-1.0,39,228.720632
-1.0,71,231.203475
-1.0,26,232.127497
1.0,37,233.59864
-1.0,45,235.30262
-1.0,27,236.243711
-1.0,28,237.25954
1.0,49,239.055903
-1.0,37,240.587263
-1.0,38,241.927236
-1.0,26,242.799473
-1.0,34,244.175166
-1.0,48,279.906064
-1.0,26,280.871442
1.0,33,282.703851
1.0,34,283.675432
1.0,35,289.412739
-1.0,42,291.732941
1.0,31,293.95279
1.0,39,298.180245
1.0,33,299.825684
-1.0,28,300.804971
1.0,30,301.840546
-1.0,30,305.545152
1.0,23,306.678637
-1.0,51,309.241075
1.0,59,311.698987
-1.0,32,312.900901
-1.0,34,314.158266
-1.0,52,315.901072
1.0,29,317.088055
1.0,39,320.748159
1.0,39,322.130886
1.0,58,324.172116
-1.0,41,326.572048
-1.0,32,328.003909
1.0,41,329.669254
-1.0,26,330.666785
1.0,31,332.008686
1.0,35,333.532419
-1.0,42,335.179943
1.0,26,336.195235
-1.0,34,337.612574
1.0,32,338.60786
-1.0,39,339.980613
1.0,44,341.509693
1.0,54,343.546831
1.0,24,344.349385
1.0,50,346.359503
1.0,33,347.637724
-1.0,50,352.195599
-1.0,31,353.873887
1.0,26,354.857738
-1.0,29,355.976782
1.0,46,357.712525
1.0,38,360.024459
1.0,35,361.850755
-1.0,22,363.625219
1.0,35,365.069351
-1.0,39,367.001607
-1.0,36,369.625207
-1.0,38,371.208207
1.0,59,373.711498
1.0,39,375.482102
1.0,36,376.80396
-1.0,33,377.955075
-1.0,29,379.406887
1.0,27,380.696259
-1.0,33,382.171755
