#{"t_start": 1774765016.454009, "env_id": "None"}
r,l,t
1.0,52,7.89648
-1.0,34,9.72184
-1.0,32,11.959696
-1.0,40,13.674651
-1.0,23,14.544337
1.0,43,16.224756
1.0,23,17.149399
1.0,46,18.849115
-1.0,34,22.622067
1.0,38,25.268583
1.0,31,26.726008
-1.0,40,28.852709
1.0,24,30.150856
1.0,38,32.405343
1.0,62,35.957089
1.0,34,38.583972
1.0,40,41.342818
-1.0,35,43.746882
1.0,29,46.040095
-1.0,29,47.627387
-1.0,25,48.809197
-1.0,49,51.17147
-1.0,40,58.863521
1.0,38,61.634648
1.0,49,65.546032
1.0,34,67.401126
-1.0,31,70.090125
-1.0,38,72.172526
-1.0,35,74.573661
1.0,24,75.82844
1.0,32,80.019083
-1.0,45,85.074754
-1.0,28,86.753846
-1.0,42,88.587022
-1.0,35,89.910758
1.0,34,93.007754
-1.0,101,101.623696
-1.0,31,104.221741
1.0,34,105.43074
1.0,39,107.762594
-1.0,33,108.913305
-1.0,26,111.539717
-1.0,45,113.202358
1.0,27,114.269803
-1.0,19,114.974989
1.0,36,116.39601
-1.0,27,117.334317
-1.0,44,118.834389
-1.0,32,120.154475
-1.0,28,122.809587
1.0,26,125.203719
1.0,43,127.3691
1.0,36,129.324954
1.0,21,130.335741
1.0,49,132.524196
-1.0,33,133.957727
-1.0,31,163.625327
-1.0,22,164.365888
-1.0,37,165.575804
-1.0,36,166.976352
-1.0,50,168.911867
1.0,37,170.281499
1.0,35,171.543111
-1.0,36,172.835136
-1.0,33,173.968266
-1.0,43,175.547709
1.0,46,177.260167
1.0,24,178.388831
-1.0,56,181.194451
-1.0,30,182.305016
-1.0,21,183.071587
-1.0,30,184.159256
1.0,63,186.594124
-1.0,36,187.841536
-1.0,28,188.911557
1.0,43,190.403653
1.0,40,192.17286
-1.0,14,192.701744
-1.0,35,193.849864
-1.0,29,194.944786
1.0,29,196.215885
1.0,34,197.614513
1.0,35,198.8208
1.0,31,199.941337
-1.0,25,201.034554
1.0,25,202.2524
1.0,33,203.467344
-1.0,33,204.771709
-1.0,33,206.669721
1.0,42,208.567703
-1.0,38,210.147824
-1.0,24,210.997148
-1.0,30,212.059964
-1.0,46,213.597717
-1.0,51,215.686564
-1.0,33,216.941883
-1.0,27,217.930579
-1.0,45,219.385026
1.0,35,220.552226
1.0,77,223.317986
-1.0,34,224.569134
1.0,34,225.736625
1.0,34,226.897973
1.0,36,228.265372
-1.0,30,229.573378
-1.0,36,230.806279
-1.0,40,232.211111
1.0,29,233.249355
-1.0,33,234.562296
-1.0,34,235.928222
-1.0,28,236.899108
1.0,32,237.974795
-1.0,29,239.171954
1.0,30,240.321465
-1.0,42,275.767786
1.0,36,277.053272
-1.0,36,278.761126
-1.0,25,281.866185
-1.0,27,285.724076
1.0,48,287.766077
-1.0,41,292.544292
-1.0,31,294.585487
-1.0,51,296.450047
1.0,25,297.898881
1.0,34,301.307961
1.0,23,302.427409
-1.0,33,304.034934
-1.0,40,305.75775
-1.0,48,307.749973
-1.0,42,309.253959
1.0,33,310.438198
-1.0,30,311.436371
-1.0,28,312.782981
1.0,38,316.242175
-1.0,32,317.331583
1.0,28,318.271097
1.0,40,320.041702
-1.0,53,322.790599
-1.0,29,324.001042
-1.0,33,325.277153
-1.0,30,326.400436
1.0,36,328.13125
-1.0,28,329.242092
-1.0,40,330.844484
1.0,32,332.247298
1.0,33,333.35562
-1.0,33,334.417179
-1.0,32,335.538345
1.0,31,336.577444
-1.0,76,339.407532
-1.0,31,340.583955
-1.0,30,341.891001
-1.0,24,342.741056
1.0,43,346.067931
1.0,21,348.205125
1.0,27,349.392907
-1.0,38,350.782342
-1.0,40,352.244553
1.0,29,353.505802
-1.0,33,355.621761
1.0,28,357.064117
1.0,32,359.258741
-1.0,28,360.444964
-1.0,29,361.776132
-1.0,38,364.550849
-1.0,41,366.350536
1.0,44,368.172426
1.0,25,369.356134
-1.0,44,371.189506
1.0,42,372.705745
-1.0,29,373.886415
-1.0,24,375.124716
1.0,31,376.536254
-1.0,19,377.390317
